Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,NIPT013,NIPT013_m3_FAM,6.61007404327393,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,132.201477050781,,,8.14285564422607,5.28388833999634,14814,83,14731,0,83,90,14641,0,,,,,,,,713.569519042969,,,NIPT013_m3_VIC,0.922003377450364,,,1.19845447644707,0.645552278453654,47.9709551121314,,,55.4545458319776,40.4873643922853,2356.11338420087,29.2836082614595,42.3203891041064,,,,,7.36127090454102,5.91211366653442,,,,,,,1.06213777320371,0.781868981697013,,,51.7644233508072,44.1774868734557
A01,NIPT013,NIPT013_m3_VIC,7.16925144195557,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,143.385025024414,,,8.76164817810059,5.78369617462158,14814,90,14724,0,83,90,14641,0,,,,,,,,1272.34399414063,,,,,,,,,,,,,,1668.92594401042,816.405215163103,821.584563455007,,,,,7.95070886611938,6.44109487533569,,,,,,,,,,,,
A02,NIPT013,NIPT013_m3_FAM,6.38987064361572,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,127.797409057617,,,7.80024099349976,5.16158628463745,16800,91,16709,2,89,113,16596,0.0976238403177105,,,,,,,,713.569519042969,,,NIPT013_m3_VIC,0.790736452181396,,,1.00877897873766,0.572693925625132,44.157053441234,,,50.956567207309,37.3575396751589,2275.59800636375,21.7743555615651,33.9825670034102,,,,,7.08212852478027,5.74453449249268,,,,,,,0.901582060780695,0.679890843582097,,,47.6137013414564,40.7004055410115
A02,NIPT013,NIPT013_m3_VIC,8.08091068267822,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,161.618209838867,,,9.55879688262939,6.60487842559814,16800,115,16685,2,89,113,16596,0.0976238403177105,,,,,,,,1272.34399414063,,,,,,,,,,,,,,1659.07270295516,818.039011070976,823.796086938041,,,,,8.83470249176025,7.32760143280029,,,,,,,,,,,,
A03,NIPT013,NIPT013_m3_FAM,7.3113260269165,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,146.226516723633,,,8.69749736785889,5.92678594589233,17271,107,17164,0,107,96,17068,0,,,,,,,,713.569519042969,,,NIPT013_m3_VIC,1.11494003719385,,,1.42293601401573,0.806944060371967,52.7173356022507,,,59.6030487439094,45.831622460592,2467.72539199401,40.3595276081825,55.3979241972209,,,,,8.01835250854492,6.6047248840332,,,,,,,1.27155065571712,0.958329418670568,,,56.2186014473974,49.216069757104
A03,NIPT013,NIPT013_m3_VIC,6.55759572982788,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,131.151916503906,,,7.96437883377075,5.32799625396729,17271,96,17175,0,107,96,17068,0,,,,,,,,1272.34399414063,,,,,,,,,,,,,,1727.88931274414,836.501946973509,841.456679595475,,,,,7.24867963790894,5.91216945648193,,,,,,,,,,,,
A04,NIPT013,NIPT013_m3_FAM,6.4683952331543,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,129.367904663086,,,8.09957408905029,5.0735912322998,12949,71,12878,0,71,90,12788,0,,,,,,,,713.569519042969,,,NIPT013_m3_VIC,0.788307312520557,,,1.03494246663214,0.541672158408978,44.0811994113845,,,51.7932642809673,36.3691345418017,3122.31991878026,95.2936266023497,111.890959735768,,,,,7.26564693450928,5.7320294380188,,,,,,,0.91331789113573,0.663296733905384,,,47.9901705194859,40.1722283032831
A04,NIPT013,NIPT013_m3_VIC,8.20542335510254,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,164.108459472656,,,10.0289516448975,6.61904954910278,12949,90,12859,0,71,90,12788,0,,,,,,,,1272.34399414063,,,,,,,,,,,,,,1960.69951985677,857.944408331015,865.608935324397,,,,,9.10026168823242,7.37169599533081,,,,,,,,,,,,
B01,NIPT013,NIPT013_m3_FAM,6.69172096252441,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,133.834411621094,,,8.20485782623291,5.37814235687256,15339,87,15252,0,87,97,15155,0,,,,,,,,713.569519042969,,,NIPT013_m3_VIC,0.896613442535284,,,1.157447315611,0.635779569459569,47.2744430903507,,,54.5255839450913,40.0233022356101,2422.10224721624,27.0985794695451,40.6826018369721,,,,,7.43392133712769,6.00094413757324,,,,,,,1.02884006446626,0.764386820604311,,,50.9503224884598,43.5985636922416
B01,NIPT013,NIPT013_m3_VIC,7.46332883834839,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,149.266571044922,,,9.05629253387451,6.07025051116943,15339,97,15242,0,87,97,15155,0,,,,,,,,1272.34399414063,,,,,,,,,,,,,,1684.57719122503,816.879305941776,822.366410373126,,,,,8.24594783782959,6.73221826553345,,,,,,,,,,,,
